transition(MB),memory(MB),memory(MB),memory(GB),memory(GB)
4.39,237.4148096,234.549248,0.23741481,0.234549248
4.4,237.928448,234.5435136,0.237928448,0.234543514
4.41,238.3290368,234.5394176,0.238329037,0.234539418
4.42,239.026176,234.6672128,0.239026176,0.234667213
4.43,239.5807744,235.1218688,0.239580774,0.235121869
4.44,240.0256,235.8181888,0.2400256,0.235818189
4.45,240.4220928,236.4014592,0.240422093,0.236401459
4.46,240.6449152,236.2474496,0.240644915,0.23624745
4.47,240.6580224,236.2466304,0.240658022,0.23624663
4.48,240.7235584,236.2540032,0.240723558,0.236254003
4.49,240.7415808,236.2507264,0.240741581,0.236250726
4.5,240.730112,236.249088,0.240730112,0.236249088
4.51,240.7325696,236.2458112,0.24073257,0.236245811
4.52,240.7251968,236.2466304,0.240725197,0.23624663
4.53,240.7194624,236.3523072,0.240719462,0.236352307
4.54,240.7112704,236.5628416,0.24071127,0.236562842
4.55,240.7030784,236.9339392,0.240703078,0.236933939
4.56,240.6916096,237.481984,0.24069161,0.237481984
4.57,240.6834176,237.481984,0.240683418,0.237481984
4.58,240.6834176,237.0428928,0.240683418,0.237042893
4.59,240.70144,237.0428928,0.24070144,0.237042893
4.6,240.7038976,237.0420736,0.240703898,0.237042074
4.61,240.6957056,237.0387968,0.240695706,0.237038797
4.62,240.6834176,237.0379776,0.240683418,0.237037978
4.63,240.6653952,237.0379776,0.240665395,0.237037978
4.64,240.8620032,237.0502656,0.240862003,0.237050266
4.65,241.188864,237.0748416,0.241188864,0.237074842
4.66,241.577984,237.3681152,0.241577984,0.237368115
4.67,242.143232,237.8350592,0.242143232,0.237835059
4.68,242.7879424,237.9055104,0.242787942,0.23790551
4.69,243.3155072,237.9055104,0.243315507,0.23790551
4.7,243.8807552,237.9046912,0.243880755,0.237904691
4.71,244.5418496,237.903872,0.24454185,0.237903872
4.72,245.0989056,237.903872,0.245098906,0.237903872
4.73,245.6649728,237.9030528,0.245664973,0.237903053
4.74,245.9123712,237.9210752,0.245912371,0.237921075
4.75,246.1196288,237.9186176,0.246119629,0.237918618
4.76,246.1417472,237.9194368,0.246141747,0.237919437
4.77,246.206464,237.9153408,0.246206464,0.237915341
4.78,246.2277632,237.9104256,0.246227763,0.237910426
4.79,246.2490624,238.010368,0.246249062,0.238010368
4.8,246.2449664,238.3577088,0.246244966,0.238357709
4.81,246.2982144,238.9336064,0.246298214,0.238933606
4.82,246.7135488,239.4800128,0.246713549,0.239480013
4.83,247.1010304,239.6069888,0.24710103,0.239606989
4.84,247.6761088,239.9264768,0.247676109,0.239926477
4.85,248.2659328,239.2694784,0.248265933,0.239269478
4.86,248.8336384,239.2727552,0.248833638,0.239272755
4.87,249.4521344,239.271936,0.249452134,0.239271936
